Sample_Id	Sample_Desc	Processed_Sample	Processed_Sample (With Scientific Name)	Matched_Components	Match_Status(Macro Level)
9_T10	grapefruit juice	grapefruit juice	grapefruit {citrus x paradisi} juice	['grapefruit juice:FOODON_03306174']	Full Term Match
9_T15	lime juice	lime juice	lime juice	['lime juice:FOODON_03306160']	Full Term Match
9_T16	orange liqueur	orange liqueur	orange liqueur	['liqueur:FOODON_03301008', 'orange:PATO_0000953']	Component Match
9_T20	tequila	tequila	tequila	['tequila:FOODON_03304704']	Full Term Match
9_T22	ice	ice	ice	['ice:ENVO_01001125']	Full Term Match
9_T25	limes	lime	lime	['lime (whole, raw):FOODON_03305086']	Full Term Match
10_T1	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
10_T2	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
10_T4	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
10_T7	vinega	vinega	vinega	[]	No Match
10_T11	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
10_T17	tomatoes	tomato	tomato {solanum lycopersicum}	['solanum lycopersicum:NCBITAXON_4081']	Full Term Match
10_T20	avocados	avocado	avocado {persea americana}	['persea americana:NCBITAXON_3435']	Full Term Match
11_T1	cream	cream	cream	['cream food product:FOODON_00001216']	Full Term Match
11_T3	coffee	coffee	coffee	['coffea arabica:NCBITAXON_13443']	Full Term Match
11_T7	tequila	tequila	tequila	['tequila:FOODON_03304704']	Full Term Match
11_T10	Kahlua	kahlua	kahlua	[]	No Match
12_T1	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
12_T4	5 eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
12_T10	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
12_T15	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
12_T7	all purpose flour	purpose flour	all purpose flour	['flour food product:FOODON_00001056']	Component Match
13_T1	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
13_T5	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
13_T8	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
13_T12	cumin	cumin	cumin	['cuminum cyminum:NCBITAXON_52462']	Full Term Match
13_T16	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
13_T20	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
13_T29	garbanzo beans	garbanzo bean	garbanzo {cicer arietinum} bean	['10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054']	Full Term Match
14_T1	water	water	water	['water:CHEBI_15377']	Full Term Match
14_T4	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
14_T7	basil pesto	basil pesto	basil {ocimum basilicum} pesto	['ocimum basilicum:NCBITAXON_39350', 'pesto sauce:FOODON_03310218']	Component Match
14_T10	cumin	cumin	cumin	['cuminum cyminum:NCBITAXON_52462']	Full Term Match
14_T14	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
14_T17	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
14_T22	garbanzo beans	garbanzo bean	garbanzo {cicer arietinum} bean	['10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054']	Full Term Match
15_T6	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
15_T13	horseradish mustard	horseradish mustard	horseradish mustard	['horseradish:FOODON_03316284', 'mustard food product:FOODON_00002053']	Component Match
15_T14	hot dogs	hot dog	hot dog	['hot dog:FOODON_00001009']	Full Term Match
15_T16	beans	bean	bean	['bean (whole):FOODON_00002753']	Full Term Match
15_T20	mustard yellow	mustard yellow	mustard yellow	['sinapis alba:NCBITAXON_3728']	Component Match
15_T5	potato	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
15_T21	tater tots	tater tot	tater tot	['tater tot:FOODON_03311863']	Full Term Match
16_T1	salmon steaks	salmon steak	salmon steak	['salmon:FOODON_00003473']	Component Match
16_T5	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
16_T8	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
16_T11	spring onion	spring onion	spring onion {allium cepa}	['welsh onion (whole):FOODON_00003172']	Full Term Match
16_T14	limoncello	limoncello	limoncello	[]	No Match
16_T18	oregano	oregano	oregano {origanum vulgare}	['12710 - marjoram, dry (efsa foodex2):FOODON_03541271']	Full Term Match
16_T20	parsley	parsley	parsley	['petroselinum crispum:NCBITAXON_4043']	Full Term Match
17_T1	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
17_T4	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
17_T8	cheese	cheese	cheese	['cheese food product:FOODON_00001013']	Full Term Match
17_T12	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
17_T15	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
17_T18	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
18_T1	himalayan sea salt	himalayan sea salt	himalayan sea salt	['salt:CHEBI_24866', 'sea:ENVO_00000016']	Component Match
18_T6	jalapeño	jalapeño	jalapeño	[]	No Match
18_T9	coconut water	coconut water	coconut water	['cocos nucifera:NCBITAXON_13894', 'water:CHEBI_15377']	Component Match
18_T14	cucumber	cucumber	cucumber	['cucumis sativus:NCBITAXON_3659']	Full Term Match
18_T19	celery	celery	celery {apium graveolens dulce group}	['apium graveolens dulce group:NCBITAXON_117781']	Full Term Match
19_T2	lemon	lemon	lemon	['citrus limon:NCBITAXON_2708']	Full Term Match
19_T6	chickpeas	chickpea	chickpea {cicer arietinum}	['cicer arietinum:NCBITAXON_3827']	Full Term Match
19_T10	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
19_T14	garlic	garlic	garlic {allium sativum}	['allium sativum:NCBITAXON_4682']	Full Term Match
19_T19	pepper flakes	pepper flakes	pepper flakes	['sweet yellow bell pepper (whole):FOODON_00003548']	Component Match
20_T1	bagel	bagel	bagel	['bagel:FOODON_03309554']	Full Term Match
20_T3	egg	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
20_T5	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
20_T11	deli ham	deli ham	deli ham	['ham food product:FOODON_00002502']	Component Match
20_T15	deli roast beef	deli roast beef	deli roast beef	['roast beef:FOODON_00002734']	Component Match
20_T16	any lunch meat	lunch meat	any lunch meat	['luncheon meat:FOODON_03310675']	Full Term Match
21_T1	baking soda	baking soda	baking soda	['baking soda product:FOODON_00002385']	Full Term Match
21_T4	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
21_T10	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
21_T11	vinegar	vinegar	vinegar	['vinegar:FOODON_03301705']	Full Term Match
21_T16	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
21_T18	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
22_T3	apple cider vinegar	apple cider vinegar	apple {malus domestica} cider vinegar	['cider vinegar:FOODON_03307916']	Component Match
22_T7	dr pepper	dr pepper	dr pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Component Match
22_T8	Coke	coke	coke	[]	No Match
22_T13	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
22_T15	mustard	mustard	mustard	['mustard food product:FOODON_00002053']	Full Term Match
22_T22	ham	ham	ham	['ham food product:FOODON_00002502']	Full Term Match
22_T10	cloves	clofe	clofe	['clove food product:FOODON_00001745']	Full Term Match
23_T1	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
23_T4	Kahlua	kahlua	kahlua	[]	No Match
23_T7	vanilla vodka	vanilla vodka	vanilla vodka	['vanilla:NCBITAXON_51238', 'vodka:FOODON_03305518']	Component Match
23_T10	creme de cacao	creme de cacao	creme de cacao	['theobroma cacao:NCBITAXON_3641']	Component Match
23_T14	chocolate	chocolate	chocolate	['chocolate:FOODON_03307240']	Full Term Match
24_T1	saffron	saffron	saffron	['saffron thread:FOODON_00003441']	Full Term Match
24_T4	water	water	water	['water:CHEBI_15377']	Full Term Match
24_T10	greek yogurt	greek yogurt	greek yogurt	['26930 - yoghurt (efsa foodex2):FOODON_03542693', 'greek:HANCESTRO_0366']	Component Match
24_T14	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
24_T15	cardamom	cardamom	cardamom	['elettaria cardamomum:NCBITAXON_105181']	Full Term Match
24_T20	cream	cream	cream	['cream food product:FOODON_00001216']	Full Term Match
24_T23	nut	nut	nut	['nut (whole):FOODON_03303171']	Full Term Match
25_T1	oatmeal	oatmeal	oatmeal	[]	No Match
25_T16	blueberry	blueberry	blueberry	['blueberry (whole, raw):FOODON_03302045']	Full Term Match
25_T17	almond	almond	almond {prunus dulcis}	['prunus dulcis:NCBITAXON_3755']	Full Term Match
25_T18	chia seed	chia seed	chia seed	['chia seed (whole):FOODON_00002961']	Full Term Match
25_T19	vanilla bean	vanilla bean	vanilla bean	['vanilla bean (whole, raw):FOODON_03302056']	Full Term Match
25_T20	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
25_T21	water	water	water	['water:CHEBI_15377']	Full Term Match
25_T22	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
26_T1	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
26_T6	celery	celery	celery {apium graveolens dulce group}	['apium graveolens dulce group:NCBITAXON_117781']	Full Term Match
26_T8	mayo	mayonnaise	mayonnaise	['mayonnaise:FOODON_03301440']	Full Term Match
26_T13	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
26_T15	potatoes	potato	potato {solanum tuberosum}	['solanum tuberosum:NCBITAXON_4113']	Full Term Match
27_T1	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
27_T6	pear	pear	pear {pyrus communis}	['pyrus communis:NCBITAXON_23211']	Full Term Match
27_T10	honey	honey	honey	['honey:UBERON_0036016']	Full Term Match
27_T11	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
27_T18	chai tea	tea	tea	['tea food product:FOODON_03315081']	Full Term Match
27_T19	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
28_T1	strawberry	strawberry	strawberry {fragaria x ananassa}	['fragaria x ananassa:NCBITAXON_3747']	Full Term Match
28_T8	water	water	water	['water:CHEBI_15377']	Full Term Match
28_T9	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
29_T1	brown rice syrup	brown rice syrup	brown rice {oryza sativa} syrup	['brown rice:FOODON_00003436', 'rice syrup:FOODON_03307722']	Component Match
29_T2	hone	hone	hone	[]	No Match
29_T10	peanut butter	peanut butter	peanut {arachis hypogaea} butter	['peanut butter:FOODON_03306867']	Full Term Match
29_T11	peanuts	peanut	peanut {arachis hypogaea}	['arachis hypogaea:NCBITAXON_3818']	Full Term Match
29_T15	seeds	seed	seed	['seed:PO_0009010']	Full Term Match
29_T21	rolled oats	rolled oat	rolled oat	['rolled oats:FOODON_03307110']	Full Term Match
30_T1	cinnamon	cinnamon	cinnamon {cinnamomum verum}	['cinnamon:FOODON_03301175']	Full Term Match
30_T7	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
30_T9	banana	banana	banana {musa x paradisiaca}	['musa x paradisiaca:NCBITAXON_89151']	Full Term Match
30_T15	half-and-half	half and	half and	['half and half:FOODON_03301794']	Full Term Match
30_T18	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
31_T1	cream	cream	cream	['cream food product:FOODON_00001216']	Full Term Match
31_T7	maraschino cherry	maraschino cherry	maraschino cherry	['maraschino cherry:FOODON_03301256']	Full Term Match
31_T10	banana	banana	banana {musa x paradisiaca}	['musa x paradisiaca:NCBITAXON_89151']	Full Term Match
32_T1	bread	bread	bread	['bread and similar products (eurofir):FOODON_03400817']	Full Term Match
32_T4	American cheese	american cheese	american cheese	['american:HANCESTRO_0463', 'cheese food product:FOODON_00001013']	Component Match
32_T7	mayonnaise	mayonnaise	mayonnaise	['mayonnaise:FOODON_03301440']	Full Term Match
33_T1	ice cubes	ice cube	ice cube	['ice:ENVO_01001125']	Component Match
33_T3	lemon juice	lemon juice	lemon juice	['lemon juice:FOODON_03305428']	Full Term Match
33_T8	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
33_T11	watermelon	watermelon	watermelon	['citrullus lanatus subsp. vulgaris:NCBITAXON_260674']	Full Term Match
33_T14	mint	mint	mint	['mint (whole or parts):FOODON_03000237']	Full Term Match
34_T1	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
34_T4	water	water	water	['water:CHEBI_15377']	Full Term Match
34_T10	baking chocolate	baking chocolate	baking chocolate	['chocolate:FOODON_03307240']	Component Match
34_T16	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
35_T1	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
35_T2	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
35_T5	tomatoes	tomato	tomato {solanum lycopersicum}	['solanum lycopersicum:NCBITAXON_4081']	Full Term Match
35_T15	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
35_T18	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
35_T21	okra	okra	okra {abelmoschus esculentus}	['abelmoschus esculentus:NCBITAXON_455045']	Full Term Match
35_T25	okra	okra	okra {abelmoschus esculentus}	['abelmoschus esculentus:NCBITAXON_455045']	Full Term Match
36_T1	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
36_T5	baking soda	baking soda	baking soda	['baking soda product:FOODON_00002385']	Full Term Match
36_T8	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
36_T10	flour	flour	flour	['flour food product:FOODON_00001056']	Full Term Match
37_T4	vine tomatoes	vine tomato	vine tomato {solanum lycopersicum}	['solanum lycopersicum:NCBITAXON_4081']	Component Match
37_T9	olives	olife	olife	[]	No Match
37_T15	olives	olife	olife	[]	No Match
37_T20	Dijon mustard	dijon mustard	dijon mustard	['mustard (dijon):FOODON_03306361']	Full Term Match
37_T22	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
37_T27	red wine vinegar	red wine vinegar	red wine vinegar	['red wine:FOODON_03310272', 'wine vinegar:FOODON_03301228']	Component Match
37_T26	butter lettuces	butter lettuce	butter lettuce	['butter:FOODON_03310351', 'lettuce head food product:FOODON_00001998']	Component Match
38_T1	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
38_T3	balsamic vinegar	balsamic vinegar	balsamic vinegar	['vinegar:FOODON_03301705']	Component Match
38_T5	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
38_T11	corn	corn	corn {zea mays subsp. mays}	['zea mays subsp. mays:NCBITAXON_381124']	Full Term Match
38_T15	corn	corn	corn {zea mays subsp. mays}	['zea mays subsp. mays:NCBITAXON_381124']	Full Term Match
38_T21	tomatoes	tomato	tomato {solanum lycopersicum}	['solanum lycopersicum:NCBITAXON_4081']	Full Term Match
38_T24	cherry tomatoes	cherry tomato	cherry tomato {solanum lycopersicum}	['miniature tomato plant:FOODON_03411608']	Full Term Match
39_T1	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
39_T8	pineapple slices	pineapple slice	pineapple {ananas comosus} slice	['ananas comosus:NCBITAXON_4615']	Component Match
39_T13	swiss cheese	swiss cheese	swiss cheese	['swiss cheese:FOODON_03303659']	Full Term Match
39_T17	ham	ham	ham	['ham food product:FOODON_00002502']	Full Term Match
39_T20	sandwich bread	sandwich bread	sandwich bread	['bread and similar products (eurofir):FOODON_03400817', 'sandwich:FOODON_03301906']	Component Match
39_T23	basil	basil	basil {ocimum basilicum}	['ocimum basilicum:NCBITAXON_39350']	Full Term Match
40_T1	thyme leaves	thyme leaves	thyme {thymus vulgaris} leaves	['thymus vulgaris:NCBITAXON_49992']	Component Match
40_T7	turkey	turkey	turkey {meleagris gallopavo}	['turkey:GAZ_00000558']	Full Term Match
40_T11	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
40_T14	orange	orange	orange	['orange:PATO_0000953']	Full Term Match
40_T18	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
40_T23	kosher salt	kosher salt	kosher salt	['salt:CHEBI_24866']	Component Match
41_T6	cream cheese	cream cheese	cream cheese	['cream cheese:FOODON_03301889']	Full Term Match
41_T8	cake mix	cake mixture	cake mixture	['cake mix:FOODON_03317068']	Full Term Match
41_T11	chocolates	chocolate	chocolate	['chocolate:FOODON_03307240']	Full Term Match
41_T14	candy sprinkles	candy sprinkle	candy sprinkle	['candy:FOODON_03301051']	Component Match
42_T4	all purpose flour	purpose flour	all purpose flour	['flour food product:FOODON_00001056']	Component Match
42_T7	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
42_T10	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
42_T11	confectioners' sugar	confectioner sugar	confectioner sugar	['sugar:FOODON_03420108']	Component Match
42_T14	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
42_T22	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
42_T24	vanilla extract	vanilla extract	vanilla extract	['vanilla:NCBITAXON_51238']	Component Match
43_T1	almonds	almond	almond {prunus dulcis}	['prunus dulcis:NCBITAXON_3755']	Full Term Match
43_T7	bacon	bacon	bacon	['bacon food product:FOODON_00001061']	Full Term Match
43_T12	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
43_T14	onions	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
44_T9	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
44_T10	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
44_T11	vanilla	vanilla	vanilla	['vanilla:NCBITAXON_51238']	Full Term Match
44_T12	heavy cream	heavy cream	heavy cream	['heavy cream:FOODON_03310795']	Full Term Match
45_T4	vegetables	vegetable	vegetable	['vegetable (whole or parts):FOODON_03315308']	Full Term Match
45_T5	cheddar cheese	cheddar cheese	cheddar cheese	['cheddar cheese:FOODON_03302458']	Full Term Match
45_T9	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
45_T16	mushroom soup	mushroom soup	mushroom soup	['mushroom soup food product:FOODON_00002049']	Full Term Match
45_T21	cream of mushroom soup	cream of mushroom soup	cream of mushroom soup	['cream of mushroom soup:FOODON_03305128']	Full Term Match
45_T23	margarine	margarine	margarine	['margarine:FOODON_03301672']	Full Term Match
45_T25	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
45_T30	chicken	chicken	chicken {gallus gallus}	['chicken:FOODON_03411457']	Full Term Match
45_T38	chicken flavor stuffing mix	chicken flavor stuffing mixture	chicken {gallus gallus} flavor stuffing mixture	['chicken mixture:FOODON_00003849', 'food filling product:FOODON_00001868']	Component Match
46_T4	chives	chive	chive {allium schoenoprasum}	['chive leaf (whole, raw):FOODON_03311167']	Full Term Match
46_T6	clarified butter	clarified butter	clarified butter	['31400 - butter oil (efsa foodex2):FOODON_03543140']	Full Term Match
46_T8	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
46_T9	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
46_T10	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
47_T1	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
47_T4	oil	oil	oil	['oil:FOODON_03310387']	Full Term Match
47_T8	marshmallow	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
47_T9	graham cracker	graham cracker	graham cracker	['cracker:FOODON_00002711']	Component Match
47_T15	chocolate cake mix	chocolate cake mixture	chocolate cake mixture	['chocolate cake mix:FOODON_03302884']	Full Term Match
48_T4	butter	butter	butter	['butter:FOODON_03310351']	Full Term Match
48_T5	oil	oil	oil	['oil:FOODON_03310387']	Full Term Match
48_T7	popcorn	popcorn	popcorn	['popcorn food product:FOODON_00003139']	Full Term Match
48_T19	peanuts	peanut	peanut {arachis hypogaea}	['arachis hypogaea:NCBITAXON_3818']	Full Term Match
48_T30	plain chocolate candy	plain chocolate candy	plain chocolate candy	['30350 - bitter chocolate (efsa foodex2):FOODON_03543035', 'chocolate candy:FOODON_03400288']	Component Match
48_T37	marshmallows	marshmallow	marshmallow {althaea officinalis}	['marshmallow:FOODON_03305639']	Full Term Match
49_T3	salt	salt	salt	['salt:CHEBI_24866']	Full Term Match
49_T4	pepper	pepper	pepper	['sweet yellow bell pepper (whole):FOODON_00003548']	Full Term Match
49_T7	vinegar	vinegar	vinegar	['vinegar:FOODON_03301705']	Full Term Match
49_T11	sugar	sugar	sugar	['sugar:FOODON_03420108']	Full Term Match
49_T17	cabbage	cabbage	cabbage	['brassica oleracea var. capitata:NCBITAXON_3716']	Full Term Match
49_T23	onion	onion	onion {allium cepa}	['allium species:FOODON_03414302']	Full Term Match
49_T25	apple	apple	apple {malus domestica}	['malus domestica:NCBITAXON_3750']	Full Term Match
50_T3	lime	lime	lime	['lime (whole, raw):FOODON_03305086']	Full Term Match
50_T7	olive oil	olive oil	olive oil	['olive oil:FOODON_03301826']	Full Term Match
50_T8	steak seasoning	steak seasoning	steak seasoning	['seasoning:FOODON_03301189']	Component Match
50_T12	flank steak	flank steak	flank steak	['flank:FOODON_03530022']	Component Match
51_T5	eggs	egg	egg	['egg food product:FOODON_00001274']	Full Term Match
51_T11	milk	milk	milk	['milk:UBERON_0001913']	Full Term Match
51_T15	arrowroot powder	arrowroot powder	arrowroot powder	['arrowroot (whole, raw):FOODON_00003068', 'food (powdered):FOODON_00002976']	Component Match
51_T16	baking powder	baking powder	baking powder	['baking powder:FOODON_03301940']	Full Term Match
51_T17	sea salt	sea salt	sea salt	['salt:CHEBI_24866', 'sea:ENVO_00000016']	Component Match
